id,titulo,url,fecha_estreno,sinopsis,usuario,genero
TheBatman,The Batman,https://m.media-amazon.com/images/M/MV5BYTExZTdhY2ItNGQ1YS00NjJlLWIxMjYtZTI1MzNlMzY0OTk4XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_FMjpg_UX1000_.jpg,3/4/2022,La trama es desconocida,fd_x,Accion
Sonic2,Sonic The Hedgehog 2,https://m.media-amazon.com/images/M/MV5BMzExMWVjODMtYjgzOC00ZDljLTgxMTktYWQ0NGNiOTcxNGYxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_FMjpg_UY720_.jpg,08/04/2022,Sonic y su compañera Tails emprenden un viaje alrededor del mundo en busca de una esmeralda que tiene del poder de destruir civilizaciones.,chipotle,Animacion
Minions2,Minions 2: The Rise of Gru ,https://m.media-amazon.com/images/M/MV5BYjZkNzM0MDItZGQ0Zi00N2MzLTlhM2MtNjJlMTczZDBkNWUxXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_FMjpg_UX1000_.jpg,07/01/2022,"En los años 70, Gru crece siendo un gran admirador de ""Los salvajes seis"", un supergrupo de villanos. Para demostrarles que puede ser malvado, Gru idea un plan con la esperanza de formar parte de la banda. Por suerte, cuenta con la ayuda de sus fieles seguidores, los Minions, siempre dispuestos a sembrar el caos.",wicho,Comedia
Morbius,Morbius,https://m.media-amazon.com/images/M/MV5BYjlhNTA3Y2ItYjhiYi00NTBiLTg5MDMtZDJjMDZjNzVjNjJmXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_FMjpg_UX1000_.jpg,1/4/2022,"El bioquímico Michael Morbius intenta curarse de una rara enfermedad de la sangre, pero sin darse cuenta se infecta con una forma de vampirismo.",jorgelpz,Accion
Lamb,Lamb,https://m.media-amazon.com/images/M/MV5BNzYzZTI2YmQtYmZlOS00NDI0LTg5MTktODJkNzc2Yzg0ZmMxXkEyXkFqcGdeQXVyNTQwOTY1MTg@._V1_.jpg,12/30/2021,"Una pareja sin hijos descubre un misterioso recién nacido en su granja de Islandia. El potencial de crear una familia les trae mucha alegría, pero también podría destruirles.",hiramsito,Terror
LastNightInSoho,Last Night in Soho,https://m.media-amazon.com/images/M/MV5BMGI1NjVjY2YtNTk3Yi00NjgxLWJkMGYtZTM3NDk0YmYwZDU0XkEyXkFqcGdeQXVyNjU2ODM5MjU@._V1_.jpg,10/29/2021,"Una joven amante de la moda viaja en el tiempo y termina en Londres en la década de 1960. Allí conoce a su gran ídolo, una cantante. Sin embargo, tiene que descubrir que la vida en ese momento en el Soho es diferente de lo que ella esperaba.",hiramsito,Terror
Lighthouse,Lighthouse,https://m.media-amazon.com/images/M/MV5BZjZmYmVlNGUtNjhhZS00MmQwLTk2NzAtZjFhYjJmNWNkM2RkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,10/18/2021,"En la década de 1890, dos fareros que afrontan un turno de cuatro semanas juntos combaten la constante tentación de dejarse arrastrar por la locura en una isla remota y misteriosa de Nueva Inglaterra.",hiramsito,Terror
RebEvan,Evangelion 3.0+1.0: Thrice Upon a Time,https://m.media-amazon.com/images/M/MV5BMjJiMDE1NzUtY2E1Yy00MDZlLWEyMjYtNTMyYzcyNWMzMTJhXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_FMjpg_UX1000_.jpg,08/03/2022,"Shinji sigue a la deriva tras perder la voluntad de vivir, pero encuentra un lugar que le devuelve la esperanza. Finalmente, se inicia el Proyecto de Complementación Humana y Wille hace un último esfuerzo por evitar el Impacto Final.",berns99,Animacion
DonnieDarko,Donnie Darko,https://m.media-amazon.com/images/M/MV5BOGRiOGM5MmUtMmI3Yi00ZTFhLTlhZDYtZGNmOWRmYTM4NWE2XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,19/01/2001,"Tras salvarse por poco de un extraño accidente, un adolescente con problemas tiene visiones de un hombre con un disfraz de conejo que lo manipula para cometer una serie de crímenes.",berns99,Misterio
TheNorthman,El hombre del norte,https://m.media-amazon.com/images/M/MV5BMDNkMTVlODUtNjBlMi00ZTUyLWI5OTItZTFjMjVlMTA5MTkzXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_FMjpg_UY720_.jpg,22/04/2022,Se trata de una violenta historia de venganzas entre vikingos ambientada en la Islandia del siglo 10.,chipotle,Accion
Reacher,Reacher,https://m.media-amazon.com/images/M/MV5BNzQ4MGYzYzAtNjJlOC00NTdkLTlmNTAtMmZjMzZmZTg2YTEzXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_.jpg,02/04/2022,"Cuando el policía militar retirado Jack Reacher es arrestado por un asesinato que no cometió, se encuentra en medio de una conspiración mortal llena de policías sucios, empresarios turbios y políticos intrigantes.",quiroz,Accion
BabyDriver,Baby Driver,https://m.media-amazon.com/images/M/MV5BMTg4MTkyMDg0MV5BMl5BanBnXkFtZTgwOTEwMTk0MjI@._V1_.jpg,11/03/17,"Después de ser forzado a trabajar para un jefe del crimen organizado, un joven conductor de fuga se ve involucrado en un robo condenado al fracaso.",berns99,Accion
WhiteBird,White Bird: A Wonder Story,https://m.media-amazon.com/images/M/MV5BNTI2MDYwZjktOGNmMi00YmJhLTkzZDYtODU5NjFiY2E3NzRlXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_FMjpg_UX1080_.jpg,16/09/2022,"Después de los eventos de 'Wonder', el joven acosador Julian deja la escuela. Lo visita su abuela de París, quien le cuenta historias de su infancia: cuando era una joven judía que vivía en la Francia ocupada por los nazis durante la Segunda Guerra Mundial, y un compañero de clase y su familia la escondieron de los nazis.",chipotle,Drama
Scream,Scream,https://m.media-amazon.com/images/M/MV5BM2E4ZGFmZTgtMDVkYS00ZTk0LWIzYWMtODk5OGVmYmEyMzEzXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_FMjpg_UX1000_.jp,14/01/2022,"Veinticinco años después de que Billy Loomis y Stu Macher aterrorizaran a la ciudad de Woodsboro, la estudiante de secundaria Tara Carpenter está sola en casa y le envía mensajes de texto a su amiga, Amber Freeman. El teléfono fijo suena y Tara responde solo para ser confrontada por una persona sádica que la obliga a responder trivias de terror amenazando la vida de Amber. Cuando se equivoca en una pregunta, Ghostface irrumpe en la casa y ataca a Tara, rompiéndole la pierna y apuñalándola varias veces; Tara sobrevive al ataque pero está gravemente herida.",juanitomaflo,Terror
ButterflyEffect,The Butterfly Effect,https://m.media-amazon.com/images/M/MV5BODNiZmY2MWUtMjFhMy00ZmM2LTg2MjYtNWY1OTY5NGU2MjdjL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_FMjpg_UX1000_.jpg,01/23/2004,"Evan Treborn sufre apagones durante eventos significativos de su vida. A medida que crece, encuentra una manera de recordar estos recuerdos perdidos y una forma sobrenatural de alterar su vida leyendo su diario.",lagartodogo33,Drama
JackassForever,Jackass Forever,https://m.media-amazon.com/images/M/MV5BMjY3OTBlODktYzliNS00Y2VkLWJhZjktZDcwY2E2YzhmOThhXkEyXkFqcGdeQXVyOTg4MDMxODM@._V1_FMjpg_UX1000_.jpg,02/04/2022,"Después de 11 años, el equipo de Jackass regresa para su cruzada final.",lagartodogo33,Comedia
DeathontheNile,Death on the Nile,https://m.media-amazon.com/images/M/MV5BNjI4ZTQ1OTYtNTI0Yi00M2EyLThiNjMtMzk1MmZlOWMyMDQwXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_FMjpg_UX1000_.jpg,02/11/2022,"Mientras está de vacaciones en el Nilo, Hercule Poirot debe investigar el asesinato de una joven heredera.",lagartodogo33,Misterio
Moonfall,Moonfall,https://m.media-amazon.com/images/M/MV5BZjk0OWZiN2ItNmQ2YS00NTJmLTg0MjItNzM4NzBkMWM1ZTRlXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_.jpg,02/03/2022,Una fuerza misteriosa saca a la Luna de su órbita alrededor de la Tierra y la hace estrellarse en un curso de colisión con la vida tal como la conocemos.,quiroz,Aventura
SinTiempoParaMorir,Sin tiempo para morir,https://m.media-amazon.com/images/M/MV5BZDAxNDQ0M2ItZWI1NC00OGE0LWJhY2ItZDg0NmZlZTJjNmFjXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_.jpg,09/30/2021,Bond ha dejado el servicio. Su recién encontrada paz es interrumpida por una visita de su amigo de la CIA Felix Leiter. Bond y Leiter le siguen la pista a un misterioso villano en posesión de peligrosas nuevas tecnologías.,quiroz,Accion
DontLookUp,Don't Look Up,https://m.media-amazon.com/images/M/MV5BY2FjNTE2MGYtYTU0My00Y2Y4LTlhZDgtODk0NWZhOGUwZjM3XkEyXkFqcGdeQXVyMTE2Mzg1NTEy._V1_.jpg,12/05/2021,Narra la historia de dos astrónomos mediocres que deben emprender una gira mediática descomunal para avisar a la humanidad de la llegada de un cometa que va a destruir la Tierra.,hiramsito,Comedia
YourName,Your Name,https://m.media-amazon.com/images/M/MV5BODRmZDVmNzUtZDA4ZC00NjhkLWI2M2UtN2M0ZDIzNDcxYThjL2ltYWdlXkEyXkFqcGdeQXVyNTk0MzMzODA@._V1_FMjpg_UX1000_.jpg,08/26/2016,"Mitsuha es una adolescente que detesta su vida rural en el campo. Por otro lado, Taki es un chico que vive en Tokio y sueña con ser un artista o un arquitecto. Los destinos de estos jóvenes se entrelazan la noche en que dos estrellas caen del cielo, y comienzan a intercambiar sus cuerpos de la noche a la mañana. Con el pasar del tiempo, desarrollan maneras de comunicarse entre ellos y un creciente anhelo de conocerse en persona.",wicho,Drama
Seven,Se7en,https://m.media-amazon.com/images/M/MV5BZDgyZmY5MmItY2I3Ny00NjA4LWFhNmItMGQ4ZGJhZDk5YjU3XkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_FMjpg_UX1000_.jpg,12/01/1996,"Dos detectives, un novato y un veterano, dan caza a un asesino en serie cuyo móvil son los siete pecados capitales.",KarlaLerma,Misterio
ToyStory3,Toy Story 3,https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_FMjpg_UX1000_.jpg,18/06/2010,"Los juguetes terminan por error en una guardería en lugar del ático de Andy, justo antes que este se vaya a la universidad. Ahora dependerá de Woody convencer a los otros juguetes de que no fueron abandonados y regresar a casa.",KarlaLerma,Animacion
TheShawshankRedemption,The Shawshank Redemption,https://m.media-amazon.com/images/M/MV5BMTA1MjE0Nzk4MDleQTJeQWpwZ15BbWU4MDA0NjIxMjAx._V1_FMjpg_UX1000_.jpg,24/02/1995,"Andy Dufresne es encarcelado por matar a su esposa y al amante de esta. Tras una dura adaptación, intenta mejorar las condiciones de la prisión y dar esperanza a sus compañeros.",KarlaLerma,Drama
TheMitchellsVsTheMachines,The Mitchells vs The Machines,https://m.media-amazon.com/images/M/MV5BMjdkZjNjNDItYzc4MC00NTkxLTk1MWEtY2UyZjY5MjUwNDNkXkEyXkFqcGdeQXVyMTA1OTcyNDQ4._V1_.jpg,11/20/2021,"Cuando Katie es aceptada en la escuela de cine de sus sueños, su familia entera decide acompañarla. Su viaje es interrumpido por una revolución tecnológica.",hiramsito,Comedia
Raw,Raw,https://m.media-amazon.com/images/M/MV5BNDZlY2QwOWUtYmVjNy00ZTM4LTgwYWEtZDUwZTdjMjQyZjQ2XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_.jpg,03/15/2017,"Un adolescente inmaduro, que estudia para ser veterinario, desarrolla un ansia por la carne humana.",hiramsito,Terror
Prisoners,Prisoners,https://m.media-amazon.com/images/M/MV5BZDE0MmY0OGItZDhiYS00MDc3LTkzOTEtMDUxMmE0ZGZhZTVlXkEyXkFqcGdeQXVyMTgxOTIzNzk@._V1_.jpg,11/08/2013,"Cuando la hija de Keller Dover y su amiga desaparecen, él toma el caso en sus manos mientras la policía sigue múltiples pistas y aumenta la presión.",hiramsito,Suspenso
Thor2,Thor: Love and thunder,https://m.media-amazon.com/images/M/MV5BMzZjMTIwNjYtYTg0ZS00ZDFjLTk3MDctMTY3ZTgwMjQ4MmFiXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_FMjpg_UX1000_.jpg,08/06/2022,"La secuela de Thor: Ragnarock, y cuarta película en la saga de Thor.",Berto,Accion
ISawTheDevil,I Saw The Devil,https://m.media-amazon.com/images/M/MV5BMjA1MjU1MTg0OV5BMl5BanBnXkFtZTcwMjQ0NzUzNA@@._V1_.jpg,08/12/2010,Un agente secreto se venga de un asesino en serie a través de una serie de capturas y liberaciones.,hiramsito,Accion
LaComunidadDelAnillo,El señor de los anillos: La comunidad del anillo,https://m.media-amazon.com/images/M/MV5BMzgyNjdjOWMtMjAyYy00NzQ4LWIwYTQtZDk2ZDQzYWVlN2IwXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX720_.jpg,21/12/2001,Un Hobbit y ocho compañeros emprendieron un viaje para destruir el poderoso Anillo Único y salvar a la Tierra del Señor Oscuro Sauron.,chipotle,Fantasia
LasDosTorres,El señor de los anillos: Las dos torres,https://m.media-amazon.com/images/M/MV5BMmQzMDhiY2ItMmJlMi00M2QzLWE2MjItZDg2NjE5N2YyZTE5XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_FMjpg_UX774_.jpg,11/12/2002,"Mientras Frodo y Sam se acercan más a Mordor con la ayuda del cambiante Gollum, la comunidad dividida se opone al nuevo aliado de Sauron, Saruman, y sus hordas de Isengard.",chipotle,Fantasia
ElRetornoDelRey,El señor de los anillos: El retorno del Rey,https://m.media-amazon.com/images/M/MV5BMGI3ODM0NTktZDcwMy00OWMzLWI5OGUtOTUzZTM1MzllOWQ1XkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_FMjpg_UX1000_.jpg,17/12/2003,"La batalla por la Tierra Media ha empezado. Las fuerzas de Saruman han sido destruidas y por primera vez parece que hay una pequeña esperanza. Sin embargo, el poder de Sauron crece y su interés se centra en Gondor, el último reducto de los hombres, cuyo heredero es Aragorn. Mientras, Frodo y Sam, guiados por Gollum, siguen su peligrosa misión a través de Mordor para destruir el anillo.",chipotle,Fantasia
Misery,Misery,https://m.media-amazon.com/images/M/MV5BODk2MTcyMzMtNDEwZS00NzU5LTgzZGQtMmFmNTNmZTlhZTBiXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_FMjpg_UX1000_.jpg,30/11/1990,"Después de que un autor famoso es rescatado de un accidente automovilístico por un fanático de sus novelas, se da cuenta de que la atención que está recibiendo es solo el comienzo de una pesadilla de cautiverio y abuso.",juanitomaflo,Drama
TheGuilty,The Guilty,https://m.media-amazon.com/images/M/MV5BZWI3NmEyYzAtNWY4OC00YWY4LTk2MjgtM2Y1NDdlZWE4ODgzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,09/11/2021,Un detective de la policía con problemas degradado al servicio de operador del 911 se apresura a salvar a una persona durante un día de revelaciones y ajustes de cuentas.,hiramsito,Suspenso
ThePowerOfTheDog,The Power of the Dog,https://m.media-amazon.com/images/M/MV5BZGRhYjE2NWUtN2FkNy00NGI3LTkxYWMtMDk4Yjg5ZjI3MWI2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,11/11/2021,"Los acaudalados hermanos Phil y George Burbank son las dos caras de la misma moneda. Phil es elegante y cruel, mientras que George es impasible y amable. Cuando George se casa en secreto con una viuda del pueblo, Phil lleva a cabo una guerra sádica e implacable usando a su afeminado hijo, Peter, como peón.",hiramsito,Western
Taken,Taken,https://m.media-amazon.com/images/M/MV5BNGRjMDFlMmUtOGU5OC00OGRhLThkZDctYTM0Yzk5NGVjZGFlXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_FMjpg_UX1000_.jpg,2008/06/2001,"Un agente jubilado de la CIA viaja por Europa y confía en sus viejas habilidades para salvar a su hija, que ha sido secuestrada durante un viaje a París.",fd_x,Accion
ChildsPlay,Child's Play,https://m.media-amazon.com/images/M/MV5BZGU1MjNiYWYtNGQ5MS00MTgzLTlkYjItZDhhNTdlMTkxZGVlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,08/24/1989,"Child's Play es una película de terror de 1988 dirigida y coescrita por Tom Holland, y producida por David Kirschner a partir de una historia de Don Mancini.​ Es la primera película de la serie Child's Play y la primera entrega que presenta al personaje Chucky.",hiramsito,Terror
Parasitos,Parásitos,https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_FMjpg_UY720_.jpg,18/10/2019,"Desempleados, la familia de Ki-taek toma interés en la acaudalada y glamorosa vida de los Park, hasta que se ven envueltos en un inesperado incidente.",chipotle,Suspenso
Memento,Memento,https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg,05/25/2001,Un hombre con pérdida de memoria a corto plazo intenta localizar al asesino de su esposa.,lagartodogo33,Misterio
